state,w,b
020100000000000000000010000100000001110200101001231100000110000000000002000011020,0,1
010000300001000020000000000100200020102202000100020000000000000000000000000000000,1,0
010000000000210000010001000120031000000000011001010000000000000000010000000110000,0,1
001010000000010000000200000000020201110232011002000020000002000000010000000010000,2,0
000110000000010000000020000120000001112231011100020001000022000000010000000111000,0,1
000111000000010000000020000100020001112232211102100000000000000000010000000111000,2,0
000100002000000000002001100000020200100003201000002100000221000000010000000100000,2,0
000010000000000100010000000000000000100300211000000101010000000001010000000101000,0,1
000100000000010000001220100001203100102000001002200000001101000000000100000000000,0,2
000011000000010000000020000100120001100002211102020001000320000000010000000111000,1,0
000111000000000000013100100000000000110200211001020000000000000000010000000000100,0,1
000111000000000000020100000100000100110302211100020001002020000000010000000011000,0,1
000010000000000000200020202020001011001103001120010000000000000000010001010001000,2,0
010001000001010000010000020100032001102200201100020000000002010000000100000100000,1,0
000111000001000000000021000100220001110300011102000001000010000001000000000000000,1,0
010101001100000100000020000100020200102200001100202001020300010010000000000111000,0,2
000010000000010000002100000000010011110001010100230001000002200000000000000111000,0,1
000000000000000200001200100000003201102000200000202100000021000000010000000000000,2,0
000111000000000100200202010100020001112003201100020100000021000000010000000110000,0,1
000100000000000100010000010100300000000200001000000100001202010100001100000100000,0,1
001010000000000000200000002100020001110232001102021000000000200100000000000010010,1,0
010010000000010200000000020100020001102000001010020001010023000000202000001011000,1,0
000011000000010000000210000000202001110032211100020001000020000000010000000111000,0,2
000100000000000000002023010000001001112000211100001001000020000000010000000010000,0,1
100011000010000000010101000000003000002000211102000001000020000000010000100010000,0,1
000001000010000000000200001000000000002000100000020000203020210001002000000000100,2,0
000111000001000000000020000100020001100232211000010000012000000000000100000111000,0,1
000010000000010000000020000102000000110131011100000001002110000000000000000011000,0,2
000111000000010000000020000100020100112202011000131121000000000000000000000010000,1,0
000111000100000000000001000102000001112203211000001001000010000100000000000100000,0,1
000000000001002201000000000102200100100003000000122000000020010000000100000111000,1,0
000000100010000000000020200100020100000032200100000200000200100000010000000011000,2,0
000111000002010000020000000001020001110232211100020001000020000000010000000111000,0,1
000110000000010000000021000102202001100030011100202100000020000000010000000110000,0,1
000100000000200000000000000102011200102301001100002001010020000000010000000110000,0,1
000000000000000100010000010001200201000032200000020000010002010001000100000100000,1,0
001000100010000010100001001000000000001030001000020000100000201010000010001000100,0,1
000111000001000000010000010000010100102002001000020201010320000001200000000111000,1,0
000011000000000100010000000002030201001002201100020001000020010000000100000111000,0,1
000000010000010000000000010001202100100030011120202201000200000000010000000111000,1,0
000000001000000101000100010000003100000000000000002000000001010000000000000000000,1,0
000101000001000000013200010100201000000000001000101000000200000000000001000111000,0,2
100110000000000000002001010100010100100231000000010000000000000002010000000111000,0,2
000011020000010000010000002002020001001300011000200201000120000000010000000011000,1,0
002011000000000000000100000001000100110002000103000100000100000000000100001001000,0,2
000111000001000000000200000100002001112032211100220010000020000000010000000111000,1,0
000011000000010000000120000100020001100102211100200031000020000000010000000011000,0,1
000010010001000100000020000000202000102030211000200200012000000000000001001010100,1,0
000111000000012000000020000100220001110031011100200001000020000001000000000010000,1,0
000011000000010000000020000100020001100132211100220001000020000100000000010111000,2,0
020111000000000200000000000100212001112031101000110000000000000000010000000110000,0,1
010011000000010200000000000100010000001131011100020001200000000200010000000110000,0,2
000000000100000000000100200001101000100000001102310000001010000000000000000111000,0,1
000001000000000000000010002000013001110002211002020001000020000000010000000111000,0,1
000000000000000000100020200000130000001000201000000100000000100000010000000011000,2,0
000111000001000000000021000100220001110300011102100000000010000001000000000000000,1,0
001010001000010020000001000000122000110203001000220200000002000000010000100010000,2,0
000110000000011000000020020100020100112203100100020001000020010000010200000111000,0,1
001000000100000000001100100002000001002202211100232001000101100000000000201000000,1,0
000111000000010000000020000100020001112202211100200300000020000000110001000011000,2,0
002000011000000020000110000000010100110130200000011020000000110000000000100110000,0,2
000110000001000010010001100000302200102202201000020000000000210100010100000101000,0,1
000010000000000100010000010000002000000230000001000000000020200001000000000000000,1,0
010000001020000000000220020000030000100000001000010000000011000002000100100010000,2,0
000001000010010000020300001000000100102200000100020000000020201000012000000101100,2,0
000110000000010000000000210100201010112230001100020100000022000000010000000111000,2,0
000111000001000000103200002000020001100100211000002021010020000000010000001011000,0,2
001011000000000100000020000100020001102202211102000301010001002000000100000110000,0,2
001000000000000100000001010000002200000030001000122200010002010001000100000000000,1,0
000011000000010000000200000001001000110200011101030200000100000000010000000010000,0,2
000111000000010000000020000100020001102202211100200301010020000010000000000111000,2,0
110011000000010000000020000100020001102302211100020001000020000000210000001011000,2,0
000111000100000000000200001100020000112032211100202001000020000000010000000111000,2,0
000100000100000000000001000001010100101002211001003200000200201000000100000111000,0,1
000010000100000000000100000100201001110232211102020001000020000000010000000111000,0,1
000111000000000000002010000000200001102002201100000001000200010013000000001011000,2,0
000011000000010000000120000001020001110232011100020001000020000002010200000111000,0,2
001000000100000100010000010000002001000232200000020000010002010001000100000100000,1,0
000111010000000000000020100100022031112200001100020100000002000001000000000111000,0,1
000000001010000000002200100001131000000001001000111000001000100002000000000000001,0,2
000010000000100000000020000100020001110100211101231000000000000002010200001001000,0,2
001000000000010000001000010000100201000103201000010000000001000200000100000100000,0,2
000011000001000000010100010102000001102002000100230100020010010001000000000001000,0,1
001010000010000000100020101000200300112002211000202000100020001000010000001011000,0,1
010011000000010200000023000100020001012200011100022001000020000010010000000111000,2,0
001000100010000010100000001000000000100000000000022000103022100012200010001010100,0,1
000111000000012000000020000001020001110200211001003001000112000000000000000011000,2,0
000010000000010000000001000000010021110102201000030021000020000000010000000111000,0,1
000100000002000000000200000100030001010001011000000001000102000000002000100100001,2,0
000010000000000000000000000101001100010100100002200100013200100000100000002111000,2,0
001010000002000000000002000000020000100232001102020000100002000100000000000010010,1,0
000010000000000000022000001000030200112200001100000201000101000000010000000010000,2,0
000000000010000010000000101000000000000100000001200000113002001012000010001000000,0,1
000111000020000100001000000000220100003000201120020001000202000010000000001001000,2,0
000110000000000100000021010100230001112202001120010000000000000000010000000111000,1,1
000110000000000100000021000100202001113000001000210001000002010000000000002110000,1,0
000011000000000100010020010100020201100002300100110100002000000000000100000001000,0,2
011001000000010000000002000102020001100230211100022001000020000000010000010111000,2,0
000100000000010000001220100001203100102200001002000000001101000000000100000000000,0,2
000111000000000000010200100001032100100000001001020100002001000000200000000111000,0,1
000000000002000000100301000000200000002200100100020001000020000100000000000111000,2,0
000110000020000100001001001000220100000000200023020001100202000010000000001001000,2,0
